,City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Min Temp,Wind Speed
162,5044290,Saint Anthony,75,US,1644555037.8801305,82,45.0205,-93.218,40.6,35.69,12.66
163,1262039,Namakkal,14,IN,1644555038.1521924,35,11.2213,78.1652,78.19,78.19,4.68
164,3424607,Tasiilaq,100,GL,1644555038.4192522,62,65.6145,-37.6368,8.46,8.46,4.81
165,6165406,Thompson,0,CA,1644555038.6853123,69,55.7435,-97.8558,-23.64,-23.64,9.22
166,3883457,Lebu,0,CL,1644555039.0303895,78,-37.6167,-73.65,54.64,54.64,16.87
167,3675504,Manaure,65,CO,1644555039.29745,81,11.7751,-72.4445,75.79,75.79,12.26
168,80509,Al Bardīyah,15,LY,1644555039.6205225,74,31.7561,25.0865,50.77,50.77,9.17
169,1847947,Shingū,0,JP,1644555039.8915842,41,33.7333,135.9833,54.59,52.92,4.25
170,3430443,Necochea,100,AR,1644555040.2086556,92,-38.5473,-58.7368,62.04,62.04,14.81
171,5849996,Lahaina,30,US,1644555040.2666688,88,20.8783,-156.6825,75.2,70.65,1.9
172,3893726,Constitución,100,CL,1644555040.3216808,61,-35.3333,-72.4167,59.52,59.52,3.56
173,2013216,Vysokogornyy,100,RU,1644555040.5877407,74,50.1167,139.15,17.31,17.31,1.97
174,1526041,Atasū,79,KZ,1644555040.8568006,95,48.6814,71.6433,8.67,8.67,5.91
175,2662689,Visby,75,SE,1644555041.1208606,87,57.6409,18.296,35.82,35.06,13.8
176,2172797,Cairns,27,AU,1644555041.437932,62,-16.9167,145.7667,90.07,87.75,8.05
177,3692020,Nauta,100,PE,1644555041.7640052,92,-4.5061,-73.5757,73.13,73.13,0.65
178,1283679,Banepā,20,NP,1644555042.0960803,66,27.6298,85.5214,52.12,52.12,2.3
179,2063042,Port Hedland,17,AU,1644555042.432156,44,-20.3167,118.5667,96.85,96.85,18.41
180,2527087,Tiznit Province,39,MA,1644555042.7002163,24,29.5833,-9.5,54.95,54.95,2.75
181,3393762,Oeiras do Pará,98,BR,1644555043.0302906,98,-2.0031,-49.8544,72.73,72.73,1.68
182,3531571,Cardonal,49,MX,1644555043.2993517,86,20.6,-99.1333,47.61,47.61,3.62
183,2308278,Mbini,26,GQ,1644555043.5754132,87,1.574,9.6134,78.12,78.12,4.94
184,1819729,Hong Kong,34,HK,1644555043.8954854,76,22.2855,114.1577,70.25,66.18,5.99
185,1261375,Nimāparha,11,IN,1644555044.22656,53,20.0667,86.0167,75.6,75.6,7.87
186,3446038,Trindade,98,BR,1644555044.4956203,98,-16.6494,-49.4889,69.55,69.55,2.62
